reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId,manual_sentiment
3b9739b4-834b-4122-b42a-7d93c4a2072b,musakkirmk,https://play-lh.googleusercontent.com/a/ACg8ocLaTmQqycjiuW7qtp0K1mduEvdPvn0Z0P6ZrHNy_VmQVf6Ibw=mo,iy,5,0,5.2.1,2024-12-04 02:05:10,,,5.2.1,newest,com.gojek.app,
9d40d724-92cc-4029-9862-954550efcd91,Karta Andy,https://play-lh.googleusercontent.com/a-/ALV-UjUd9KTdP3HYGYmo5T_Q64OdEIhjVycFYD4mmkjbIxqpfB03dbXT,"Sarana transportasi yg berbasis online/daring ini sangat membantu segala aktivitas kita diamanapun,kapanpun apalagi kalo kendaraan pribadi kita satu2nya dipinjam SM Org2 terdekat kita baik itu mobil ataupun motor👍",4,2,4.89.1,2024-10-05 11:03:09,,,4.89.1,most_relevant,com.gojek.app,
9ae00822-c12d-49f4-91d2-4fabba1b5e0b,DarkFlame Master,https://play-lh.googleusercontent.com/a-/ALV-UjW6X7YpN-Bl-mrGoCc_YdApEHexV3nhOr3SlLo07ufWLHBB09o,Sistem mode2 baru yg bikin pengiriman makin lama jadi males lagi buat pake gofood,1,0,5.3.1,2024-12-04 16:55:14,"Hai Kak @DarkFlame Master, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2024-12-04 18:00:01,5.3.1,newest,com.gojek.app,
0baa156e-6343-4c1b-a636-26a51c58c1ba,Hilma Cahyati,https://play-lh.googleusercontent.com/a-/ALV-UjWOE-se9tKU196lA916vR53qwti8Sra_1CJF0UAGLaBnWhq72Ud,"Aplikasi banyak bug nya akhir-akhir ini, saya order goride 1x tapi yg terpanggil 2 driver dengan tujuan yg sama dari akun saya, padahal saya hanya order 1x, sering kali hanya cek aplikasi, tapi tiba-tiba terorder sendiri goridenya terutama saat saldo gopay terisi",3,8,4.97.1,2024-10-17 02:53:10,"Hai Kak Hilma, mohon maaf atas ketidaknyamanannya. Kedepannya jika terjadi double order kamu dapat melakukan pembatalan dari aplikasi untuk salah satu ordernya ya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Mira",2024-10-17 09:21:58,4.97.1,most_relevant,com.gojek.app,
03f27307-e5e2-4517-a7bf-ac1aac1706e7,syahira naura nadlifa,https://play-lh.googleusercontent.com/a/ACg8ocIqZcTJFmVrEVyO4Wf6goulI9pY_1LBGqRPUZsofRCDHHS9_vs=mo,"tiap kali pesen gofood, pasti lama banget dapet drivernya, kalo belum dapet, waktu pesanan sampai dalam berapa menit nya pasti di berhentiin, curang banget, buat sekarang kasih rate segini dulu.",1,6,5.1.2,2024-11-17 21:16:31,"Mohon maaf atas kendalanya, Kak Syahira. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat restoran. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maya",2024-11-17 23:25:38,5.1.2,most_relevant,com.gojek.app,
a98e3ea6-d614-4e7d-a51d-862f1b81e607,Sri Martini,https://play-lh.googleusercontent.com/a/ACg8ocIf63P2EagNrDqVQY15ZGtsKcwkBqG9rxN5986HsM4T852Egw=mo,Sukses slalu Go-Jek,5,0,5.3.1,2024-12-04 14:50:15,,,5.3.1,newest,com.gojek.app,
473c62b2-fce6-4161-a84a-2a37f83bdd65,wiji farahsita utami,https://play-lh.googleusercontent.com/a-/ALV-UjVHIxWXykUwyYWMOcHixy4BCIcQNblnWzD7Vbbk2z6LdlHzvZXJ,sekarang kalo mau dapet vocer gojek susah ya?😞😞😞. padahal butuh banget buat berangkat sekolah :((,2,0,5.1.2,2024-12-02 01:12:18,"Hai Kak Wiji, mohon maaf atas ketidaknyamanannya. Mengenai promo mengikuti syarat dan ketentuan yang berlaku. Apabila kamu mengalami kendala, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya. ^Maura",2024-12-02 08:52:14,5.1.2,newest,com.gojek.app,
5c4c37f5-29ba-4011-9eb3-e160768702af,Heffy Retnowati,https://play-lh.googleusercontent.com/a/ACg8ocJLQ_y0cXepA6RSF6P_Cqa6_G56V3lHZfHpmNsnCPIyFYHJ9g=mo,pesanan ok DRIVER NYA jg ok,4,0,5.1.2,2024-11-27 21:54:55,,,5.1.2,newest,com.gojek.app,
b93ad0f3-f59a-4e1f-99ab-6e1dbb79f1bc,Siswanti Handayani,https://play-lh.googleusercontent.com/a/ACg8ocK1NM5mkqxtQAsThQPWsyz0GLeZ_WR7h82mk194kqZZqSjYeA=mo,"sistemnya buruk bagi pelaku resto, pesanan sering dibatalkan driver karena terlalu jauh mengambil sehingga pelanggan merasa kecewa karena pesanan lama datangnya, kadang selalu menunggu intruksi selanjutnya menandakan tidak ada driver tidak seperti aplikasi yg lain cepat dapat drivernya. sebagai usul saja radius pengambilan lebih dekat aja buat driver.",3,25,5.1.2,2024-11-20 19:12:51,"Hai Kak Siswanti, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Miko",2024-11-20 20:55:23,5.1.2,most_relevant,com.gojek.app,
03a1f8bb-e4ad-40f1-93b0-5d6591faa82d,Salman Hidayatullah,https://play-lh.googleusercontent.com/a/ACg8ocIfEdJkyjQbA_whPR_UvzSErAehvB6K2VzhdIx2slE86dNsaw=mo,awalnya sih bagus bagus aja tapi kok makin lama ojolnya nggak ada yang nganterin makanan yah,4,0,5.3.1,2024-12-01 18:10:22,,,5.3.1,most_relevant,com.gojek.app,
1a92a399-3918-46d3-b804-541994fbe44c,eka priyatna,https://play-lh.googleusercontent.com/a/ACg8ocKiDVdaRFdt-7nPsAnWGKfv254jO8NxhDjGPgk5KS2YrS50tw=mo,"Kalau bisa, kalau lagi pesen gofood aktifnya fitur chat dengan restonya juga jangan hanya dengan drivernya saja. Kalau ada salah pencet atau gak sengaja ke order bisa chat langsung restonya biar kita juga gak rugi lebih di kembangkan lagi",4,3,5.1.1,2024-11-14 21:16:33,,,5.1.1,most_relevant,com.gojek.app,
78fff118-a27a-4a2f-92a2-b64ceebbf274,Ayu Januari Ariyani,https://play-lh.googleusercontent.com/a/ACg8ocJHu0abBDVXx_0lbYTEQK1y5KAfUyGQIsozSmel-yblIZpavg=mo,"Hari ini pesen goride, drivernya ngeselin banget.. 2 driver minta dibatalin alesannya kejauhan.. Padahal kalo dilihat dari map, posisi driver masih wajar.. Makin kesini driver goride aneh-aneh.. Uda dapet drivernya lama, sekalinya dapet driver model kayak gitu",1,0,5.3.1,2024-12-02 20:23:29,"Hai Kak Ayu, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Miko",2024-12-03 00:00:20,5.3.1,most_relevant,com.gojek.app,
37fcd0c5-b40a-4fb0-88fb-1e5c36850b66,Nadia Putri Khuzumah Wardani,https://play-lh.googleusercontent.com/a/ACg8ocKcp31GH4LZKw6944-rB4OIl5L8V_CnQeZ5P9SrYdWEtIsKwA=mo,"Sekarang cari driver susah, meski pakai paket express tetap susah pencarian driver dan berujung dicancel. Tolong diperbaiki lagi!!!",1,2,5.2.1,2024-11-30 22:24:29,"Mohon maaf atas kendalanya, Kak Nadia. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-12-01 07:41:15,5.2.1,most_relevant,com.gojek.app,
2264249c-11b8-4281-a741-6f0913dfff9f,Rianto Rian,https://play-lh.googleusercontent.com/a-/ALV-UjUU5AnHPi9bQmR0trx2TDMqvAlAxxd9rj725cXe9sPsRutVXpu0,"masih kalah fitur sama sebelah, bisa kasih tips ke driver walaupun pesanan sudah selesai",4,0,5.2.1,2024-11-26 22:41:36,,,5.2.1,most_relevant,com.gojek.app,
1fa09f0e-9c82-400e-9fd2-e44f67a2334b,Ardi Sticker,https://play-lh.googleusercontent.com/a-/ALV-UjVPH3qz8NWP7L4SFa3Ag5j2r8yV0qRaEWN-L61yUa-3eEx3FYBg,"verifikasi wajah = fitur yg merepotkan. Wajib gagal terus menerus kalo pake scan wajah. Hrs nunggu 60 menit, hadeehh. Aneh fitur nya, bukannya aman malah merepotkan. (Update) Tetap gak bisa kak, hp saya tidak ada fitur sidik jari dan wajah. Hanya PIN saja dan itu sudah benar. Hadehh jadi 2 jam nunggu nya lagi. (Update) gagal yg ke 3x nya 😒 (Update) stelah 10 jam kemudian, nyoba login ke-4x nya, baru ilang tu verifikasi wajah.. hadeeehhh.. bisa masuk juga akhirnya 🥳",2,55,4.99.1,2024-11-03 00:06:25,"Mohon maaf atas ketidaknyamanannya, Kak Ardi. Sebelum login, pastikan fitur Face ID/Sidik Jari sudah aktif dan pola atau kata sandi yang dimasukkan sudah benar. Untuk info lebih lanjut, kunjungi halaman bantuan login > klik ikon ""?"" > pilih ""Tidak bisa masuk ke akun Gojek"" > pilih artikel ""Saya tidak bisa masuk dengan Face ID/Sidik Jari"". ^Mira",2024-11-02 15:45:49,4.99.1,most_relevant,com.gojek.app,
f49cab05-f3e6-41a1-8eaf-3d06e3efc175,Mei Mei,https://play-lh.googleusercontent.com/a-/ALV-UjVZEOrP4cfD09gnM3HgsRKznm5sahwACzpRPItZ80kDf5EyBJI,"Gak tau apa sebab nya tiba"" akun saya di blokir,padahal disetiap pembayaran tepat waktu,sudah chat Cs tapi gak bantuan,,jelas"" gak ada yang salah tiba"" di blokir permanen",1,1,5.3.1,2024-12-03 16:00:21,"Hai Kak Mei, mohon maaf atas ketidaknyamanannya. Terkait laporanmu sudah ada tiket dinomor 203196436 dan sedang ditangani oleh tim kami. Kamu dapat melakukan pengecekkan progress-nya di menu My Ticket aplikasi GoPay atau Gojek kamu ya. ^Miko",2024-12-04 20:38:52,5.3.1,newest,com.gojek.app,
