reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId
3ce7ae1d-c51b-4d41-ae65-d4759a1b8dee,nailus sa'adah,https://play-lh.googleusercontent.com/a-/ALV-UjVu3a-Tl0MPpkAkth7-kNu996j1uIP7FzhBguST281S8qiZxgWc,"Jelas"" saya tidak pernah telat bayar paylater, malah tiba2 akun anda sedang di-review krna ada transaksi mencurigakan, disuruh check secara berskala tpi sampai sekrang belum bisa, mau ke ""layanan bantuan"" CS eh malah BOT, makin lah engga jelas ini. Tolong klo ada layanan CS, yg bisa di komunikasi keluhannya bukan hanya BOT, itu tidak menyelesaikan masalah.",1,11,5.2.1,2024-12-02 20:17:17,"Hai Kak Nailus, mohon maaf atas ketidaknyamanan yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-337-1552-13027 di subjek email, ya. ^Miko",2024-12-02 23:52:29,5.2.1,most_relevant,com.gojek.app
1549d3a6-aec6-4808-84d4-ab8f4e976607,Adam Sasmita,https://play-lh.googleusercontent.com/a/ACg8ocKsyP6IGTeFkUiPTDQwp7BL4iTaOoCnZEltJaMKR6TtqiS0Bw=mo,"Sekarang pesan gocar selalu banyak drama. Setelah dapat driver, driver selalu cancel, pernah juga pesan gocar pakai tunai setelah sudah mengantarkan ke tujuan, driver cancel pesanan dan akhirnya dialihkan ke driver lain, padahal lagi dalam mode mengantar. Setelah sampai tujuan ada yang telepon dan ternyata gojek. Hapus aja ini lama2 aplikasinya. Tidak berguna. Lebih baik grab",1,74,5.2.1,2024-11-26 08:37:40,"Hai Kak Adam, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Maura",2024-11-26 09:04:56,5.2.1,most_relevant,com.gojek.app
641afb96-f899-4803-8057-9855e7cf58e6,Dodi Sumanda,https://play-lh.googleusercontent.com/a-/ALV-UjU8lqgxPs-5pD-yJ2pgqLzzrZPVODD-oIEe-YZQrGS1dRSyHIES,"Saya tidak tau pasti apa alasan para driver. Di waktu tertentu Sering tidak mau ambil orderan padahal di sekitar lokasi jemput ada beberapa driver. Penyampaian Sistem selalu driver sibuk atau banyak yg order Tolong dong sistem jangan pilih2 driver juga, sering saya lihat di setiap jalan suka banyak driver yg standby Jangan sampai costumer berasumsi ada DARK SYSTEM Di aplikasi ini",1,26,5.3.1,2024-12-01 17:58:53,"Mohon maaf atas kendalanya, Kak Dodi. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maya",2024-12-01 18:50:04,5.3.1,most_relevant,com.gojek.app
ac6d2217-30fa-49aa-976c-c7c63ca746df,Edward santoso,https://play-lh.googleusercontent.com/a/ACg8ocKWs14C0GJroela6RbecmHX-Vq7cqR7lDwlV7eaBDbTR1xQKA=mo,"GOFOOD tidak profesional, sudah nunggu lama sekali, tidak mendapat driver. Dan di batalkan sepihak oleh gofood. Harusnya tidak usah kasih promo ( kasihan yg pesan dan juga kasihan drivernya ). Jangan malah buat alasan sepertinya yg pesan salah, kenapa pilih yg hemat ( terus dibatalkan otomatis setelah menunggu hampir 2 jam ) !!!!",1,46,5.1.2,2024-11-27 15:45:31,"Hai Kak Edward, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2024-11-27 17:09:17,5.1.2,most_relevant,com.gojek.app
1f21c550-da6b-4f08-b32e-c31874ab964d,Resha Siswanti,https://play-lh.googleusercontent.com/a-/ALV-UjWfpoWgSabpVKnGU6sEUjzQOj546WkBpKahdNtAjhA7b_QRYeog,"Gojek udah ga kayak dlu. Skrg ongkirnya mahal. Ongkir gofood untuk jarak 1 -2km kayak ongkir untuk jarak 7-10km. Trus ditambah ada biaya layanan juga. Kalo pake mode hemat, prosesnya lama banget. Blm lagi nunggu dapet drivernya. Trus untuk goride kadang susah dpt drivernya. Padahal di lokasi sekitar ada banyak driver. Aplikasi juga sering error.",1,274,4.96.2,2024-10-17 22:38:41,"Mohon maaf atas ketidaknyamanannya, Kak Resha. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Maya",2024-10-17 23:26:33,4.96.2,most_relevant,com.gojek.app
c4f49de5-ac3c-4839-9748-0a21598f8ce4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong dong kasi otomatis batalkan pesanan gofood kalau udh terlalu lama gak dapat driver, sudah terlalu lapar suruh nunggu 1 jam an untuk dapatin driver, kan buang² waktu namanya. payah aplikasinya, mana ongkirnya mahal sekali, dan pelit voucher. Menyesal aku pakai aplikasi ini lagi!",1,109,5.1.1,2024-11-14 23:55:51,"Hai Kak, mohon maaf atas ketidaknyamanannya. Ke depannya, jika kamu mengalami hal serupa, klik 'Butuh Bantuan' pada halaman pemesanan, lalu pilih alasan pembatalan yang sesuai, ya. Pesananmu akan dicek terlebih dulu. Jika kamu memiliki pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek. ^Maya",2024-11-15 00:26:27,5.1.1,most_relevant,com.gojek.app
096b3916-fedd-4ced-93d1-48766783efc9,Annisa Nur Oktiarani,https://play-lh.googleusercontent.com/a-/ALV-UjUQYUENNyhzWEszN5-s97qswg57YUFO1-G-A6XvDC7udQkkEH0,"Sekarang jadi terlalu banyak biaya tambahan, sehingga ongkir membengkak. Dan pembatalan pesanannya tolong lebih update lagi, masa iya udah hampir 1 jam baru ada pembatalan, kita udah ngira mau nyampe pesanan malah dibatalkan resto, kan jadi lama lagi nunggunya.",1,18,5.2.1,2024-11-28 20:41:04,"Mohon maaf atas ketidaknyamanannya, Kak Annisa. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Maura",2024-11-28 21:14:27,5.2.1,most_relevant,com.gojek.app
61315ca8-0cd1-49b5-98d4-674fe8587a8b,Eka Susilawati,https://play-lh.googleusercontent.com/a/ACg8ocLlcCeGv8rhx8OOYzH6UGJuQYMs1cr9JYXeXVLfHk8g2XyMjw=mo,"Sudah 2x kejadian. Pertama tahun lalu, ini baru kejadian lagi. Saya sudah membatalkan perjalanan (gocar), sejam kemudian ada yg telpon driver, bilang sudah nunggu di tempat penjemputan. Sedangkan saya sudah cancel sejam yll. Kasian drivernya. Angkat telpon driver jg susah. Gimana sih gojek",1,5,5.2.1,2024-12-01 20:44:08,"Hai Kak Eka, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2024-12-02 07:17:58,5.2.1,most_relevant,com.gojek.app
2f8dbb8f-3450-416c-bee6-b1e43747d5c6,Hasianna Stephanie,https://play-lh.googleusercontent.com/a-/ALV-UjXy4gc1RoSZf3UBNBmXNTdi14y2RWd6-24sINc5yZUlQfsqFg,"Jangan mau pake aplikasi gomart nya diskon nya cuman pancingan ..tetap aja lebih hemat blanja sendiri.. Awalnya Total belanja 53rb, 3 item. Tau tau 1 item yg harga 19rb kosong... Tiba tiba ada biaya penanganan 13 rb ada biaya pengemasan 2rb , dan yg dikembalikan saldo saya cuman 4rb🤣🤣🤣.. bukan 19rb yg item nya gak ada...",1,36,4.99.1,2024-11-22 15:08:54,"Mohon maaf atas ketidaknyamanannya, Kak Hasianna. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2024-11-22 16:07:46,4.99.1,most_relevant,com.gojek.app
61320f9a-719d-4155-a5b6-122d09dd424d,xi-3 shelia devi,https://play-lh.googleusercontent.com/a/ACg8ocJDN7_qx-PWH3tGJrus_ogW7e3VVx3Az1xNnrhG7f2y9ch1dw=mo,"parah banget ni aplikasi 3x order gofood susah dapat driver nunggu sampe 1 jam lebih setiap 1x order, pake promo bukannya mudah malah di persulit, kalo gitu ilangin aja promo nya kalo mempersulit costumer, mohon di perbaiki",1,28,5.2.1,2024-11-27 21:19:49,"Mohon maaf atas kendalanya, Kak Shelia. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-28 01:25:37,5.2.1,most_relevant,com.gojek.app
